code	producer_version_id	lc	product_name_ar	product_name_cs	product_name_da	product_name_de	product_name_en	product_name_es	product_name_fi	product_name_fr	product_name_it	product_name_nl	product_name_no	product_name_pl	product_name_pt	product_name_ro	product_name_ru	product_name_sv	abbreviated_product_name_fr	generic_name_da	generic_name_de	generic_name_en	generic_name_es	generic_name_fi	generic_name_fr	generic_name_hu	generic_name_it	generic_name_nl	generic_name_no	generic_name_pl	generic_name_pt	generic_name_ro	generic_name_ru	generic_name_sv	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_de	origin_en	origin_fr	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_cs	ingredients_text_da	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fi	ingredients_text_fr	ingredients_text_hu	ingredients_text_it	ingredients_text_nl	ingredients_text_no	ingredients_text_pl	ingredients_text_pt	ingredients_text_ro	ingredients_text_sv	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kj_prepared_value	energy-kj_prepared_unit	energy-kcal_value	energy-kcal_unit	energy-kcal_prepared_value	energy-kcal_prepared_unit	fat_value	fat_unit	fat_prepared_value	fat_prepared_unit	saturated-fat_value	saturated-fat_unit	saturated-fat_prepared_value	saturated-fat_prepared_unit	carbohydrates_value	carbohydrates_unit	carbohydrates_prepared_value	carbohydrates_prepared_unit	sugars_value	sugars_unit	sugars_prepared_value	sugars_prepared_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	proteins_prepared_value	proteins_prepared_unit	salt_value	salt_unit	salt_prepared_value	salt_prepared_unit	sodium_value	sodium_unit	sodium_prepared_value	sodium_prepared_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	energy_prepared_value	energy_prepared_unit	monounsaturated-fat_value	monounsaturated-fat_unit	gondoic-acid_value	gondoic-acid_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	lactose_value	lactose_unit	serum-proteins_value	serum-proteins_unit	vitamin-a_value	vitamin-a_unit	vitamin-d_value	vitamin-d_unit	vitamin-c_value	vitamin-c_unit	vitamin-b2_value	vitamin-b2_unit	vitamin-pp_value	vitamin-pp_unit	vitamin-b6_value	vitamin-b6_unit	vitamin-b12_value	vitamin-b12_unit	biotin_value	biotin_unit	pantothenic-acid_value	pantothenic-acid_unit	bicarbonate_value	bicarbonate_unit	potassium_value	potassium_unit	chloride_value	chloride_unit	calcium_value	calcium_unit	phosphorus_value	phosphorus_unit	iron_value	iron_unit	magnesium_value	magnesium_unit	caffeine_value	caffeine_unit	ph_value	ph_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	fruits-vegetables-nuts-estimate_value	fruits-vegetables-nuts-estimate_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_measured	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_2_quantity_per_unit	packaging_2_weight_measured	packaging_3_number_of_units	packaging_3_shape	packaging_3_material	packaging_3_recycling	packaging_4_shape	packaging_4_material	packaging_5_shape	packaging_6_shape	packaging_7_shape	packaging_7_material	packaging_7_recycling	conservation_conditions_fr	preparation_fr	nutriscore_score_producer	nutriscore_grade_producer	customer_service_fr	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	sources_fields:org-gs1:gln	sources_fields:org-gs1:gpcCategoryCode	sources_fields:org-gs1:gpcCategoryName	sources_fields:org-gs1:isAllergenRelevantDataProvided	sources_fields:org-gs1:lastChangeDateTime	sources_fields:org-gs1:partyName	sources_fields:org-gs1:productionVariantDescription	sources_fields:org-gs1:publicationDateTime	data_sources
5012168119284		en					Ice																														Ldpe-bag	en:ldpe-bag	The ice co	the-ice-co						United Kingdom	en:united-kingdom			0																															100g	100g																																																																																																		en:bag	en:ldpe-low-density-polyethylene																														unknown			unknown				-5	-8	0	0																App - Horizon, Apps
8711327378506		en					Magnum no added sugar																																Magnum,GB Glace	magnum,gb-glace		Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams	en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams	No gluten, No added sugar	en:no-gluten,en:no-added-sugar	United Kingdom	en:united-kingdom			0																															100g	100g					237	kcal			15	g			9.6	g			31	g			5	g					3.8	g			0.17	g			0.068	g					237	kcal																																																																																				en:ice-cream	en:milk-and-dairy-products,en:ice-cream		unknown	d	12	b	67	1	39509	-5	-15	1	0																App - yuka, Apps
7394376617461		en					Oatly chocolat fudge ( vegan)																														Composite-tub	en:composite-tub	Oatly	oatly		Plant-based foods and beverages, Dairy substitutes, Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Plant-based ice creams	en:plant-based-foods-and-beverages,en:dairy-substitutes,en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:plant-based-ice-creams	Vegetarian, Vegan	en:vegetarian,en:vegan	United Kingdom	en:united-kingdom			0														Oat base (water, 'oats), sugar, glucose syrup. rapeseed oil, fully hydrogenated coconut and rapeseed oil, cocoa powder 23%, coconut oil, cocoa butter, stabilisers (locust bean gum, guar gum com starch, emulsifiers (mono - and diglycerides of fatty acids), salt. cacao extract, natural flavour, colour (caramel). Contains 10% vanilla fudge.																	100g	100g					235	kcal			11	g			6.1	g			32	g			25	g					1.2	g			0.09	g			0.036	g					235	kcal																																																									en:multilayer-composite																											en:ice-cream	en:milk-and-dairy-products,en:ice-cream	4	en:4-ultra-processed-food-and-drink-products	d	13	unknown				-5	-10	1	0																App - yuka, Apps, App - Horizon, App - Open Food Facts
29053513		en					Plant Kitchen Chocolate Ice Cream																																							United Kingdom	en:united-kingdom			0																															100g	100g					192	kcal			10.6	g			8.9	g			19.9	g			14.1	g					1.8	g													192	kcal																																																																																							unknown			unknown		1		-5	-15	1	0																App - yuka, Apps
5000169263587		en					Colombian coffee ice cream																																							United Kingdom	en:united-kingdom			0																															100g	100g					243	kcal			13.2	g			8.4	g			27	g			27	g					3.8	g			0.13	g			0.052	g					243	kcal																																																																																							unknown			unknown		1		-5	-15	1	0																App - yuka, Apps
5060542500340		en					Natural Non-Diary ice cream																																							United Kingdom	en:united-kingdom			0																															100g	100g					184	kcal			9.6	g			5.5	g			21.2	g			19.6	g					1.7	g													184	kcal																																																																																							unknown			unknown		1		-5	-15	1	0																App - yuka, Apps
00879057		en					strawberry soft Scoop icecream																																			Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams	en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams			United Kingdom	en:united-kingdom			0														Partially Reconstituted Skimmed Milk, Sugar, Palm Oil, Dextrose, Dried Whey (Milk), Dried Glucose Syrup, Emulsifier: E471 Stabiliser: Locust Bean Gum, Guar Cum, Flavouring, Colour: Beetroot Red												Milk	en:milk				100g	100g																																																																																																																														en:ice-cream	en:milk-and-dairy-products,en:ice-cream	4	en:4-ultra-processed-food-and-drink-products			c	57	1	39509	-5	-15	1	0	-10															App - Open Food Facts, Apps
5000169076163		en					Waitrose Rich & delicious chocolate chip dairy ice cream																														Pp-tub	en:pp-tub	Waitrose	waitrose						United Kingdom	en:united-kingdom	Waitrose	waitrose	0																															100g	100g					224	kcal			12.6	g			7.9	g			22.5	g			21.1	g					4.8	g			0.14	g			0.056	g					224	kcal																																																									en:pp-polypropylene																														unknown			unknown				-5	-8	0	0																App - yuka, Apps, App - Horizon
00125093		en					Vanilla Ice Cream																														Pp-tub	en:pp-tub	Sainsburys	sainsburys						United Kingdom	en:united-kingdom			0																															100g	100g																																																																																																			en:pp-polypropylene																														unknown			unknown				-5	-8	0	0																App - Horizon, Apps
00296687		en					Caramel And Vanilla Ice Cream																														Pp-tub	en:pp-tub	Sainsburys	sainsburys						United Kingdom	en:united-kingdom			0																															100g	100g																																																																																																			en:pp-polypropylene																														unknown			unknown				-5	-8	0	0																App - Horizon, Apps
